"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25"
"1","new","go","go","presid","will","will","governor","countri","need","know","will","thank","think","will","canadian","think","mask","travel","thank","peopl","vaccin","peopl","peopl","case","test"
"2","state","test","presid","american","need","busi","china","go","make","countri","new","nhs","go","work","need","one","suppli","case","also","keep","work","go","will","new","need"
"3","hospit","state","work","test","time","support","done","american","will","ship","york","care","get","australian","canada","see","now","will","industri","will","trial","day","home","just","number"
"4","see","phase","want","coronavirus","number","job","countri","new","money","will","countri","hospit","peopl","can","will","health","use","china","peopl","time","year","countri","go","level","week"
"5","york","back","great","state","take","govern","million","see","call","make","hospit","can","can","state","help","back","can","unit","mr","work","thank","back","want","health","now"
"6","just","governor","thank","work","thing","next","deal","day","ask","nation","compani","peopl","thing","school","french","case","day","spread","us","also","two","busi","need","zealand","one"
"7","ventil","want","peopl","go","can","time","ventil","us","busi","year","thing","work","now","go","get","place","also","now","ask","health","make","lot","can","minist","get"
"8","governor","open","time","will","measur","today","open","health","lot","border","thank","question","look","get","continu","time","healthcar","dr","doctor","travel","also","make","social","three","first"
"9","know","abl","mr","just","term","econom","job","look","sure","deal","need","home","say","minist","work","well","govern","risk","well","take","develop","new","rule","will","today"
"10","need","care","lot","want","make","take","state","time","state","use","nation","much","right","issu","can","clear","go","state","test","day","use","number","distanc","can","two"
"11","million","capac","like","dr","got","help","said","case","want","deploy","call","secretari","know","now","languag","number","help","talk","airlin","us","treatment","talk","servic","around","countri"
"12","want","reopen","american","vice","week","protect","billion","great","data","mexico","incred","import","well","import","foreign","point","state","like","compani","border","drug","week","thank","number","capac"
"13","said","will","pleas","let","death","economi","want","coronavirus","talk","drug","great","cours","realli","place","go","follow","care","public","great","put","compani","deal","live","also","part"
"14","test","guidelin","come","hous","minist","announc","good","state","order","forc","fema","uk","one","nation","minist","might","today","communiti","home","system","next","question","make","work","question"
"15","week","new","virus","import","work","also","make","world","can","oper","medic","will","just","need","peopl","actual","equip","prepar","made","continu","need","guidelin","measur","crosstalk","peopl"
"16","case","come","crosstalk","said","point","employ","use","now","program","call","make","come","way","australia","countri","new","worker","addit","ship","safe","therapeut","open","stay","need","see"
"17","dr","million","take","everi","first","peopl","need","thank","small","question","busi","day","said","territori","make","just","one","govern","meet","everi","meet","mean","know","facil","abl"
"18","will","talk","say","today","patrick","provid","know","today","well","back","day","absolut","like","thing","measur","first","make","thank","cruis","come","flu","distanc","alreadi","come","help"
"19","mean","slide","job","public","keep","can","great","talk","ventil","fight","state","coronavirus","want","cabinet","right","differ","protect","virus","make","inform","clinic","watch","public","care","virus"
"20","area","communiti","will","health","come","part","year","continu","week","militari","american","social","mani","measur","abl","data","person","american","countri","mani","fda","data","group","continu","second"
