"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25"
"X22",0.00247116968698517,0.0197693574958814,0.00741350906095552,0.00741350906095552,0.00494233937397035,0.0897858319604613,0.0181219110378913,0.0247116968698517,0.0354200988467875,0.00741350906095552,0.00988467874794069,0.0156507413509061,0.0675453047775947,0.00823723228995058,0.441515650741351,0.0461285008237232,0.0535420098846787,0.0321252059308072,0.00164744645799012,0.0345963756177924,0.014003294892916,0.0222405271828666,0.00329489291598023,0.0263591433278418,0.0057660626029654
"X23",0.0275796481217309,0.0301949595815502,0.198288159771755,0.0470756062767475,0.00309082263433191,0.0133143128863528,0.0715644317641465,0.208273894436519,0.0202092249167855,0.0152163575844032,0.0634807417974322,0.00427960057061341,0.107465525439848,0.00356633380884451,0.00784593437945792,0.0187826913932477,0.0496909177365668,0.0137898240608654,0.000475511174512601,0.0408939610080837,0.0121255349500713,0.00546837850689491,0.00998573466476462,0.00237755587256301,0.0249643366619116
"X24",0.00583090379008746,0.0211370262390671,0.0087463556851312,0.0138483965014577,0.0313411078717201,0.0291545189504373,0.00583090379008746,0.0123906705539359,0.0123906705539359,0.00291545189504373,0.00583090379008746,0.00364431486880466,0.0787172011661808,0.0225947521865889,0.46064139941691,0.0750728862973761,0.064868804664723,0.00583090379008746,0.0153061224489796,0.0400874635568513,0.00801749271137026,0.0167638483965015,0.0160349854227405,0.00583090379008746,0.0371720116618076
"X25",0.0398336616327424,0.041365725541694,0.224119063252353,0.00218866272707376,0.0144451739986868,0.0107244473626614,0.165900634712191,0.0796673232654848,0.0299846793609105,0.00350186036331801,0.0479317137229153,0.0063471219085139,0.154738454804115,0.00503392427226964,0.00393959290873276,0.0151017728168089,0.0350186036331801,0.0181659006347122,0.00196979645436638,0.0347997373604728,0.00131319763624425,0.0253884876340556,0.00875465090829503,0.00372072663602539,0.0260450864521777
"X26",0.00613287904599659,0.0119250425894378,0.0030664395229983,0.00238500851788756,0.0303236797274276,0.00238500851788756,0.00238500851788756,0.0030664395229983,0.00272572402044293,0.00749574105621806,0.000681431005110733,0.0207836456558773,0.132538330494037,0.00272572402044293,0.00374787052810903,0.0916524701873935,0.0129471890971039,0.0105621805792164,0.00919931856899489,0.0497444633730835,0.00477001703577513,0.010221465076661,0.00988074957410562,0.415672913117547,0.152981260647359
"X27",0.00364109232769831,0.00676202860858257,0.00546163849154746,0.00130039011703511,0.0647594278283485,0.156827048114434,0.00416124837451235,0.011963589076723,0.0624187256176853,0.00364109232769831,0.00338101430429129,0.235630689206762,0.182314694408322,0.00260078023407022,0.00156046814044213,0.186215864759428,0.00364109232769831,0.00260078023407022,0.00286085825747724,0.00416124837451235,0.00286085825747724,0.0189856957087126,0.011443433029909,0.00598179453836151,0.0148244473342003
"X28",0.0112888052681091,0.0338664158043274,0.0235183443085607,0.00846660395108184,0.0141110065851364,0.0366886171213547,0.0103480714957667,0.00658513640639699,0.0404515522107244,0.0122295390404516,0.00940733772342427,0.00940733772342427,0.0385700846660395,0.00376293508936971,0.509877704609595,0.0357478833490122,0.00658513640639699,0.0338664158043274,0.0112888052681091,0.0611476952022578,0.00470366886171214,0.00376293508936971,0.013170272812794,0.0564440263405456,0.00470366886171214
"X29",0.142738818332413,0.0403092214246273,0.139885882569483,0.0641450395729799,0.00837474691698877,0.00211669427572244,0.101233204491073,0.018774157923799,0.134087980857721,0.00496963003865268,0.00929504877599853,0.00276090557702927,0.191698877231732,0.00276090557702927,0.00193263390392049,0.0258604822381741,0.0298177802319161,0.0194183692251058,0.00349714706423707,0.0158291919749678,0.00138045278851463,0.0137124976992454,0.00128842260261366,0.00404932817964292,0.0200625805264127
"X30",0.00462962962962963,0.0273569023569024,0.00168350168350168,0.00378787878787879,0.0437710437710438,0.0147306397306397,0.00589225589225589,0.0324074074074074,0.0021043771043771,0.00673400673400673,0.00883838383838384,0.422138047138047,0.101010101010101,0.00673400673400673,0.00968013468013468,0.061026936026936,0.0256734006734007,0.00378787878787879,0.00294612794612795,0.0534511784511785,0.00336700336700337,0.0193602693602694,0.061026936026936,0.0273569023569024,0.0505050505050505
"X31",0.0545454545454545,0.0103896103896104,0.0337662337662338,0.0103896103896104,0.0337662337662338,0.012987012987013,0.0337662337662338,0.051948051948052,0.025974025974026,0.0623376623376623,0.0493506493506494,0.2,0.0493506493506494,0.0207792207792208,0.012987012987013,0.0103896103896104,0.0103896103896104,0.0311688311688312,0.0415584415584416,0.0623376623376623,0.0103896103896104,0.0571428571428571,0.0961038961038961,0.00779220779220779,0.0103896103896104
"X32",0.097882540950859,0.0124850179784259,0.180783060327607,0.00958849380743108,0.00149820215741111,0.00719137035557331,0.0912904514582501,0.0891929684378746,0.0195765081901718,0.075809029165002,0.00739113064322813,0.00299640431482221,0.194067119456652,0.00199760287654814,0.00219736316420296,0.0331602077506992,0.0133839392728726,0.00679184978026368,0.00459448661606073,0.00499400719137036,0.00169796244506592,0.0889932081502197,0.0224730323611666,0.00329604474630443,0.0266679984019177
"X33",0.00166833500166833,0.00233566900233567,0.00533867200533867,0.00667334000667334,0.0950950950950951,0.00834167500834167,0.00934267600934268,0.00266933600266934,0.011011011011011,0.00233566900233567,0.00166833500166833,0.339673006339673,0.121121121121121,0.00633967300633967,0.0103436770103437,0.119786453119786,0.0580580580580581,0.00667334000667334,0.004004004004004,0.0603937270603937,0.00233566900233567,0.0306973640306974,0.0316983650316984,0.03003003003003,0.0323656990323657
"X34",0.00782268578878748,0.0104302477183833,0.0162972620599739,0.00130378096479791,0.0182529335071708,0.0462842242503259,0.0104302477183833,0.0215123859191656,0.0267275097783572,0.0110821382007823,0.00391134289439374,0.015645371577575,0.0971316818774446,0.0202086049543677,0.447848761408083,0.0202086049543677,0.0501955671447197,0.0117340286831812,0.0195567144719687,0.00977835723598435,0.0182529335071708,0.029986962190352,0.0378096479791395,0.00717079530638853,0.0404172099087353
"X35",0.115262824572514,0.0498205615368377,0.0536204348743931,0.109985222714798,0.00211104074308634,0.039265357821406,0.019632678910703,0.14059531348955,0.0586869326578003,0.00527760185771585,0.0379987333755542,0.00253324889170361,0.124973611990711,0.000633312222925902,0.00907747519527127,0.0405319822672578,0.0358876926324678,0.00316656111462951,0.0118218281612835,0.0202659911336289,0.0234325522482584,0.0333544437407642,0.00633312222925903,0.00717753852649356,0.0485539370909859
"X36",0.0046656298600311,0.00505443234836703,0.00777604976671851,0.00233281493001555,0.340590979782271,0.00622083981337481,0.00855365474339036,0.0031104199066874,0.0171073094867807,0.00349922239502333,0.00622083981337481,0.191290824261275,0.181570762052877,0.00738724727838258,0.00972006220839813,0.0913685847589425,0.01049766718507,0.00972006220839813,0.00427682737169518,0.00272161741835148,0.0124416796267496,0.00855365474339036,0.02099533437014,0.00699844479004666,0.0373250388802488
"X37",0.0104294478527607,0.0177914110429448,0.0134969325153374,0.00245398773006135,0.0165644171779141,0.0711656441717791,0.0049079754601227,0.0429447852760736,0.00184049079754601,0.00674846625766871,0.00184049079754601,0.00674846625766871,0.114110429447853,0.00368098159509202,0.479754601226994,0.0361963190184049,0.00368098159509202,0.0110429447852761,0.00429447852760736,0.0368098159509202,0.0196319018404908,0.0196319018404908,0.0558282208588957,0.00736196319018405,0.0110429447852761
"X38",0.100459707950243,0.00581395348837209,0.0900486749594375,0.109518658734451,0.0143320713899405,0.00486749594375338,0.040427257977285,0.174959437533802,0.0298810167658194,0.0112222823147647,0.0186587344510546,0.0033802055164954,0.190102758247701,0.00121687398593835,0.00229853975121687,0.035289345592212,0.0159545700378583,0.0213628988642509,0.0105462412114657,0.0400216333153056,0.00851811790156842,0.0393455922120065,0.0124391563007031,0.0116279069767442,0.00770686857760952
"X39",0.00278940027894003,0.00174337517433752,0.00488145048814505,0.00732217573221757,0.143305439330544,0.192817294281729,0.00383542538354254,0.0104602510460251,0.0258019525801953,0.00348675034867503,0.00418410041841004,0.175034867503487,0.170153417015342,0.0212691771269177,0.00592747559274756,0.100069735006973,0.00104602510460251,0.00453277545327755,0.00139470013947001,0.0299860529986053,0.00523012552301255,0.0167364016736402,0.0251046025104603,0.00941422594142259,0.0334728033472803
"X40",0.0979976130486673,0.0186977854395969,0.0836759050523803,0.062723776687442,0.00185651770322238,0.0107412809972152,0.0128630155151837,0.239225566900942,0.0499933695796313,0.00265216814746055,0.0377933961013128,0.0029173849622066,0.204349555761835,0.00318260177695266,0.00198912611059541,0.0254608142156213,0.0246651637713831,0.00159130088847633,0.00888476329399284,0.0107412809972152,0.0136586659594218,0.0395173053971622,0.0208195199575653,0.00106086725898422,0.0229412544755337
"X41",0.0122599100939926,0.0118512464241929,0.00612995504699632,0.00326930935839804,0.345729464650593,0.00858193706579485,0.00204331834899877,0.0147118921127912,0.00081732733959951,0.00081732733959951,0.00081732733959951,0.201062525541479,0.122599100939926,0.0155292194523907,0.00204331834899877,0.0976706170821414,0.00408663669799755,0.00653861871679608,0.00163465467919902,0.0138945647731917,0.00367797302819779,0.0143032284429914,0.0686554965263588,0.0175725378013895,0.0237024928483858
"X42",0.00325732899022801,0.00787187839305103,0.00217155266015201,0.00298588490770901,0.0420738327904452,0.0382736156351792,0.00190010857763301,0.00325732899022801,0.00352877307274701,0.010586319218241,0.00461454940282302,0.00488599348534202,0.122692725298588,0.0228013029315961,0.00895765472312704,0.0944625407166124,0.0192725298588491,0.00162866449511401,0.012214983713355,0.132193268186754,0.00135722041259501,0.012214983713355,0.00732899022801303,0.38056460369164,0.0589033659066232
"X43",0.00353045013239188,0.0247131509267432,0.00529567519858782,0.00353045013239188,0.0547219770520741,0.0494263018534863,0.0114739629302736,0.00529567519858782,0.0194174757281553,0.0105913503971756,0.0132391879964696,0.0370697263901147,0.0088261253309797,0.436893203883495,0.00706090026478376,0.0829655781112092,0.0229479258605472,0.00794351279788173,0.0370697263901147,0.060017652250662,0.00617828773168579,0.0273609885260371,0.0088261253309797,0.0432480141218005,0.0123565754633716
"X44",0.191138971525712,0.0285805354866128,0.161070973225669,0.0313429664258394,0.00318742031449214,0.00265618359541011,0.0615172120696983,0.0148746281342966,0.0369740756481088,0.0509987250318742,0.0195495112622184,0.00520611984700383,0.227581810454739,0.0105184870378241,0.000637484062898428,0.0307054823629409,0.0511049723756906,0.00403739906502337,0.00988100297492563,0.0117934551636209,0.0157246068848279,0.00424989375265618,0.00371865703357416,0.000849978750531237,0.0220994475138122
"X45",0.00872981230903536,0.0218245307725884,0.0157136621562636,0.00305543430816237,0.337843736359668,0.0292448712352684,0.00436490615451768,0.0013094718463553,0.0449585333915321,0.0117852466171977,0.00261894369271061,0.155827149716281,0.11610650371017,0.00392841553906591,0.0100392841553907,0.0842426887821912,0.00742034046268005,0.00305543430816237,0.00567437800087298,0.0192055870798778,0.0122217372326495,0.00523788738542121,0.013094718463553,0.0248799650807508,0.0576167612396334
"X46",0.0193548387096774,0.0172043010752688,0.0157706093189964,0.014336917562724,0.00716845878136201,0.03584229390681,0.0229390681003584,0.0043010752688172,0.014336917562724,0.0150537634408602,0.017921146953405,0.00716845878136201,0.039426523297491,0.0021505376344086,0.490322580645161,0.0129032258064516,0.0774193548387097,0.0100358422939068,0.0129032258064516,0.0738351254480287,0.00501792114695341,0.0243727598566308,0.0014336917562724,0.0193548387096774,0.039426523297491
"X47",0.011986301369863,0.0188356164383562,0.00513698630136986,0.0205479452054795,0.0376712328767123,0.0308219178082192,0.00513698630136986,0.0342465753424658,0.0102739726027397,0.023972602739726,0.00684931506849315,0.0445205479452055,0.0222602739726027,0.011986301369863,0.011986301369863,0.0633561643835616,0.0582191780821918,0.0102739726027397,0.00513698630136986,0.0650684931506849,0.0136986301369863,0.0154109589041096,0.0256849315068493,0.313356164383562,0.133561643835616
"X48",0.0025062656641604,0.00175438596491228,0.00200501253132832,0.00075187969924812,0.0258145363408521,0.00150375939849624,0.00150375939849624,0.00701754385964912,0.0107769423558897,0.00100250626566416,0.00100250626566416,0.243859649122807,0.093984962406015,0.00200501253132832,0.0012531328320802,0.228320802005013,0.0255639097744361,0.0140350877192982,0.0025062656641604,0.0117794486215539,0.00275689223057644,0.0115288220551378,0.230325814536341,0.0318295739348371,0.0446115288220551
"X49",0.293031066330814,0.0130982367758186,0.178841309823678,0.00940386230058774,0.0072208228379513,0.00940386230058774,0.0036943744752309,0.0184718723761545,0.00537363560033585,0.0112510495382032,0.0283795130142737,0.00806045340050378,0.170948782535684,0.00335852225020991,0.00268681780016793,0.0374475230898405,0.0952141057934509,0.000503778337531486,0.00520570948782536,0.00100755667506297,0.0235096557514694,0.0438287153652393,0.00335852225020991,0.00486985726280437,0.0218303946263644
"X50",0.233109017496635,0.00753701211305518,0.164872139973082,0.0199192462987887,0.00928667563930013,0.00888290713324361,0.00861372812920592,0.0394347240915209,0.0378196500672947,0.0176312247644684,0.0103633916554509,0.00161507402422611,0.231493943472409,0.00255720053835801,0.00134589502018843,0.0382234185733513,0.0224764468371467,0.00471063257065949,0.00349932705248991,0.0195154777927322,0.0160161507402423,0.0890982503364738,0.00349932705248991,0.00578734858681023,0.00269179004037685
"X51",0.0148556876061121,0.00169779286926995,0.0241935483870968,0.0110356536502547,0.00297113752122241,0.00933786078098472,0.0131578947368421,0.00594227504244482,0.0123089983022071,0.0161290322580645,0.00297113752122241,0.00297113752122241,0.0275891341256367,0.00721561969439728,0.398132427843803,0.050509337860781,0.110356536502547,0.0127334465195246,0.00891341256366723,0.171052631578947,0.00127334465195246,0.0352292020373514,0.0148556876061121,0.00976230899830221,0.034804753820034
"X52",0.115391229578676,0.0115219260533104,0.180911435941531,0.0517626827171109,0.00137575236457438,0.023731728288908,0.0058469475494411,0.083061049011178,0.02201203783319,0.0199484092863285,0.0120378331900258,0.00481513327601032,0.153740326741187,0.00120378331900258,0.00722269991401548,0.0142734307824592,0.150128976784179,0.0304385210662081,0.0116938950988822,0.0130696474634566,0.00464316423043852,0.0514187446259673,0.00687876182287188,0.00309544282029235,0.0197764402407567
"X53",0.00423728813559322,0.012409200968523,0.00181598062953995,0.00242130750605327,0.0251210653753027,0.00181598062953995,0.0051452784503632,0.00726392251815981,0.00817191283292978,0.00242130750605327,0.00302663438256659,0.403147699757869,0.133474576271186,0.00302663438256659,0.00968523002421308,0.0677966101694915,0.0384382566585956,0.00756658595641646,0.0111985472154964,0.012409200968523,0.0977602905569007,0.0211864406779661,0.0345036319612591,0.0160411622276029,0.0699152542372881
"X54",0.012781954887218,0.00225563909774436,0.00977443609022556,0.00676691729323308,0.00225563909774436,0.0180451127819549,0.0037593984962406,0.0255639097744361,0.0210526315789474,0.012781954887218,0.00225563909774436,0.0075187969924812,0.0240601503759399,0.00977443609022556,0.497744360902256,0.0526315789473684,0.0721804511278196,0.0165413533834586,0.018796992481203,0.121804511278195,0.00451127819548872,0.00225563909774436,0.0338345864661654,0.0150375939849624,0.00601503759398496
"X55",0.0983037397083623,0.0047614323975796,0.104949905763317,0.0848130145818867,0.00277750223192144,0.0246999305624442,0.0376946731475052,0.0204344807062791,0.163079059617101,0.00555500446384287,0.0435472671361968,0.00337268128161889,0.169030850114076,0.00148794762424363,0.00138875111596072,0.0267830572363853,0.105247495288166,0.00495982541414542,0.0117051879773832,0.0082333101874814,0.00515821843071124,0.0620970141851007,0.00208312667394108,0.000991965082829084,0.00684455907152068
"X56",0.00154320987654321,0.00694444444444444,0.00462962962962963,0.00617283950617284,0.0262345679012346,0.0817901234567901,0.0138888888888889,0.0655864197530864,0.0131172839506173,0.0100308641975309,0.0393518518518519,0.0246913580246914,0.0439814814814815,0.410493827160494,0.0154320987654321,0.054783950617284,0.037037037037037,0.00462962962962963,0.0123456790123457,0.0208333333333333,0.00385802469135802,0.0131172839506173,0.0462962962962963,0.0285493827160494,0.0146604938271605
"X57",0.00944767441860465,0.00581395348837209,0.00799418604651163,0.00799418604651163,0.0494186046511628,0.00872093023255814,0.0101744186046512,0.0210755813953488,0.0290697674418605,0.00581395348837209,0.00363372093023256,0.0116279069767442,0.0959302325581395,0.00508720930232558,0.431686046511628,0.059593023255814,0.028343023255814,0.00508720930232558,0.00944767441860465,0.111918604651163,0.00799418604651163,0.0239825581395349,0.0305232558139535,0.0159883720930233,0.00363372093023256
"X58",0.0637787320030311,0.0228593079060369,0.173149785299318,0.045466026774438,0.00164182874463248,0.0149027532205102,0.0045466026774438,0.0218489517554938,0.0045466026774438,0.214069209396312,0.0265218489517555,0.00568325334680475,0.204470825966153,0.00429401363980803,0.0068199040161657,0.0191967668603183,0.0409194240969942,0.0109876231371558,0.0253851982823945,0.020586006567315,0.018438999747411,0.0234907805001263,0.00555695882798687,0.00277847941399343,0.0180601161909573
"X59",0.00698757763975155,0.00854037267080745,0.00232919254658385,0.00854037267080745,0.0100931677018634,0.0590062111801242,0.0077639751552795,0.0232919254658385,0.0240683229813665,0.00854037267080745,0.0170807453416149,0.0046583850931677,0.046583850931677,0.00698757763975155,0.444099378881988,0.0100931677018634,0.107142857142857,0.0217391304347826,0.00854037267080745,0.0822981366459627,0.0170807453416149,0.0131987577639752,0.0209627329192547,0.0349378881987578,0.00543478260869565
"X60",0.0130090497737557,0.0311085972850679,0.00735294117647059,0.00452488687782805,0.0610859728506787,0.0955882352941176,0.0158371040723982,0.00226244343891403,0.03789592760181,0.00565610859728507,0.00282805429864253,0.358597285067873,0.0667420814479638,0.0147058823529412,0.0169683257918552,0.040158371040724,0.039027149321267,0.0135746606334842,0.00509049773755656,0.0130090497737557,0.00395927601809955,0.00904977375565611,0.0226244343891403,0.00622171945701357,0.113122171945701
"X61",0.25528353211969,0.0148566645741787,0.142289181837204,0.0514752040175769,0.0101485666457418,0.00292948315547186,0.0242728604310525,0.0034526051475204,0.00502197112366604,0.005754341912534,0.00502197112366604,0.000418497593638837,0.239485247959824,0.00209248796819418,0.00125549278091651,0.040280393387738,0.0346306758736137,0.0210295040803515,0.00177861477296506,0.0091023226616447,0.0198786356978447,0.0891399874450722,0.00428960033479807,0.00146474157773593,0.0146474157773593
